DATEPRD,BORE_OIL_VOL
12-02-2008,284.65
13-02-2008,1869.7
14-02-2008,3124.09
15-02-2008,2608.28
16-02-2008,3051.8
17-02-2008,2982.63
18-02-2008,2980.52
19-02-2008,3046.19
20-02-2008,3057.18
21-02-2008,3030.33
22-02-2008,2907.56
23-02-2008,1851.72
24-02-2008,3126.7
25-02-2008,3045.54
26-02-2008,3046.54
27-02-2008,3035.54
28-02-2008,2971.55
29-02-2008,3070.54
01-03-2008,3068.48
02-03-2008,3066.54
03-03-2008,3043.54
04-03-2008,2983.19
05-03-2008,2967.05
06-03-2008,2950.88
07-03-2008,2656.62
08-03-2008,2578.48
09-03-2008,2996.83
10-03-2008,3021.4
11-03-2008,3010.4
12-03-2008,2794.44
13-03-2008,3058.89
14-03-2008,2964.81
15-03-2008,3131.37
16-03-2008,3135.37
17-03-2008,3143.37
18-03-2008,3132.37
19-03-2008,3139.62
20-03-2008,3156.67
21-03-2008,3192.14
22-03-2008,3172.12
23-03-2008,3160.26
24-03-2008,3153.35
25-03-2008,3130.58
26-03-2008,960.26
27-03-2008,0
28-03-2008,73.44
29-03-2008,3137.26
30-03-2008,1430.95
31-03-2008,1950.58
01-04-2008,3060.6
02-04-2008,3053.67
03-04-2008,3103.12
04-04-2008,3110.68
05-04-2008,3303.3
06-04-2008,3028.41
07-04-2008,2998.8
08-04-2008,3054.12
09-04-2008,3025.8
10-04-2008,3003.22
11-04-2008,3015.97
12-04-2008,1615.37
13-04-2008,429.77
14-04-2008,2578.63
15-04-2008,2494.26
16-04-2008,2847.56
17-04-2008,1120.57
18-04-2008,2448.14
19-04-2008,2513.65
20-04-2008,2752.75
21-04-2008,2752.3
22-04-2008,2737.24
23-04-2008,2735.53
24-04-2008,2730.33
25-04-2008,2727.65
26-04-2008,2747.01
27-04-2008,1985.59
29-04-2008,546.58
30-04-2008,3011.83
01-05-2008,3167.59
02-05-2008,3163.92
03-05-2008,3173.19
04-05-2008,3188.85
05-05-2008,3186.96
06-05-2008,3176.89
07-05-2008,3171.32
08-05-2008,3170.85
09-05-2008,3188.02
10-05-2008,3415.68
11-05-2008,3701.51
12-05-2008,4002.28
13-05-2008,4253.12
14-05-2008,4279.91
15-05-2008,4439.62
16-05-2008,4582.9
17-05-2008,4677.42
18-05-2008,4688.63
19-05-2008,4687.74
20-05-2008,4885.56
21-05-2008,5013.12
22-05-2008,5017.55
23-05-2008,5019.23
24-05-2008,5034.28
25-05-2008,5045.72
26-05-2008,5053.01
27-05-2008,5065.87
28-05-2008,5072.27
29-05-2008,5086.33
30-05-2008,3869.22
31-05-2008,0
01-06-2008,22.94
02-06-2008,4019.51
03-06-2008,4999.75
04-06-2008,5067.01
05-06-2008,5040.47
06-06-2008,5058.13
07-06-2008,5057.56
08-06-2008,5070.12
09-06-2008,5081.36
10-06-2008,5081.78
11-06-2008,5087.06
12-06-2008,5060.12
13-06-2008,5032.29
14-06-2008,4332.16
15-06-2008,5087.53
16-06-2008,5102.25
17-06-2008,5102.84
18-06-2008,5135.06
19-06-2008,5140.62
20-06-2008,4721.66
21-06-2008,5037.62
22-06-2008,5147.1
23-06-2008,5114.6
24-06-2008,5123.74
25-06-2008,5135.48
26-06-2008,4232.54
27-06-2008,5126.41
28-06-2008,5075.74
29-06-2008,5121.12
30-06-2008,4372.28
01-07-2008,3980.51
02-07-2008,5114.67
03-07-2008,5083.67
04-07-2008,5080.84
05-07-2008,5086.26
06-07-2008,5087.7
07-07-2008,5094.92
08-07-2008,5095.75
09-07-2008,5094.03
10-07-2008,4621.52
11-07-2008,2855.54
12-07-2008,686.84
13-07-2008,4169.38
14-07-2008,3818.8
15-07-2008,4304.71
16-07-2008,3526.92
17-07-2008,3341.55
18-07-2008,3215.85
19-07-2008,3176.28
20-07-2008,3186.03
21-07-2008,3182.55
22-07-2008,3166.64
23-07-2008,3148.96
24-07-2008,3148.89
25-07-2008,3163.29
26-07-2008,3145.11
27-07-2008,3177.3
28-07-2008,3143.1
29-07-2008,3346.15
30-07-2008,2434.33
31-07-2008,2316.52
01-08-2008,2976.42
02-08-2008,3031.55
03-08-2008,2993.48
04-08-2008,3093.31
05-08-2008,2998.53
06-08-2008,919.75
08-08-2008,808.23
09-08-2008,4060.24
10-08-2008,4349.22
11-08-2008,4412.46
12-08-2008,4418.03
13-08-2008,4448.97
14-08-2008,4353.59
15-08-2008,4499.01
16-08-2008,5479.4
17-08-2008,5443.61
18-08-2008,5374.18
19-08-2008,5315.03
20-08-2008,4980.89
21-08-2008,4450
22-08-2008,2049.86
23-08-2008,2059.29
24-08-2008,2080.27
25-08-2008,2089.77
26-08-2008,2093.46
27-08-2008,2084.4
28-08-2008,2086.63
29-08-2008,2189.55
