Date,Calories_intake,Calories_Burnt,INSUBBUR
08-05-2015,1.934,0.168,1.766
09-05-2015,3.631,2.248,1.383
10-05-2015,3.204,1.719,1.485
11-05-2015,2.673,0.962,1.711
12-05-2015,2.495,0.736,1.759
13-05-2015,2.76,1.094,1.666
14-05-2015,2.687,0.983,1.704
15-05-2015,2.793,1.092,1.701
16-05-2015,4.061,2.7,1.361
17-05-2015,3.349,1.766,1.583
18-05-2015,2.961,1.371,1.59
19-05-2015,2.911,1.351,1.56
20-05-2015,2.569,0.939,1.63
21-05-2015,3.228,1.766,1.462
22-05-2015,2.529,0.882,1.647
23-05-2015,4.197,2.88,1.317
24-05-2015,3.899,2.502,1.397
25-05-2015,2.519,0.847,1.672
26-05-2015,2.357,0.644,1.713
27-05-2015,3.209,1.676,1.533
28-05-2015,2.811,1.148,1.663
29-05-2015,2.558,0.89,1.668
30-05-2015,4.17,2.794,1.376
31-05-2015,3.533,2.092,1.441
01-06-2015,3.354,1.862,1.492
02-06-2015,3.369,1.827,1.542
03-06-2015,3.168,1.592,1.576
04-06-2015,3.47,1.939,1.531
05-06-2015,3.134,1.583,1.551
06-06-2015,3.436,1.927,1.509
07-06-2015,3.634,2.155,1.479
08-06-2015,3.267,1.785,1.482
09-06-2015,3.072,1.494,1.578
10-06-2015,2.75,1.081,1.669
11-06-2015,3.187,1.676,1.511
12-06-2015,3.207,1.777,1.43
13-06-2015,4.083,2.818,1.265
14-06-2015,2.789,1.209,1.58
15-06-2015,3.234,1.756,1.478
16-06-2015,2.952,1.352,1.6
17-06-2015,3.352,1.809,1.543
18-06-2015,3.425,1.974,1.451
19-06-2015,3.09,1.511,1.579
20-06-2015,3.699,2.348,1.351
21-06-2015,3.385,1.921,1.464
22-06-2015,3.088,1.533,1.555
23-06-2015,2.823,1.236,1.587
24-06-2015,3.678,2.292,1.386
25-06-2015,3.003,1.419,1.584
26-06-2015,3.534,2.078,1.456
27-06-2015,3.022,1.491,1.531
28-06-2015,3.237,1.75,1.487
29-06-2015,3.142,1.579,1.563
30-06-2015,2.945,1.393,1.552
01-07-2015,3.352,1.782,1.57
02-07-2015,3.063,1.419,1.644
03-07-2015,3.465,1.947,1.518
04-07-2015,2.894,1.337,1.557
05-07-2015,3.515,2.111,1.404
06-07-2015,2.699,1.082,1.617
07-07-2015,2.74,1.106,1.634
08-07-2015,3.244,1.662,1.582
09-07-2015,2.994,1.322,1.672
10-07-2015,3.134,1.606,1.528
11-07-2015,3.191,1.589,1.602
12-07-2015,2.81,1.201,1.609
13-07-2015,3.259,1.725,1.534
14-07-2015,3.383,1.813,1.57
15-07-2015,3.569,2.155,1.414
16-07-2015,3.017,1.392,1.625
17-07-2015,3.228,1.733,1.495
18-07-2015,3.352,1.91,1.442
19-07-2015,3.237,1.703,1.534
20-07-2015,3.278,1.775,1.503
21-07-2015,3.04,1.438,1.602
22-07-2015,3.071,1.495,1.576
23-07-2015,2.984,1.349,1.635
24-07-2015,3.468,2.073,1.395
25-07-2015,2.706,1.046,1.66
26-07-2015,3.09,1.573,1.517
27-07-2015,3.091,1.527,1.564
28-07-2015,2.98,1.37,1.61
29-07-2015,3.138,1.628,1.51
30-07-2015,3.246,1.727,1.519
31-07-2015,2.654,0.914,1.74
01-08-2015,3.453,1.673,1.78
02-08-2015,2.651,1.039,1.612
03-08-2015,3.42,1.883,1.537
04-08-2015,2.863,1.225,1.638
05-08-2015,3.326,1.838,1.488
06-08-2015,3.472,2.079,1.393
07-08-2015,2.849,1.297,1.552
08-08-2015,3.168,1.638,1.53
09-08-2015,3.109,1.564,1.545
10-08-2015,3.139,1.617,1.522
11-08-2015,2.857,0.347,2.51
12-08-2015,2.055,0.287,1.768
13-08-2015,3.218,1.718,1.5
14-08-2015,3.01,1.542,1.468
15-08-2015,2.813,1.159,1.654
16-08-2015,2.706,1.084,1.622
17-08-2015,3.683,2.362,1.321
18-08-2015,3.106,1.578,1.528
19-08-2015,3.217,1.834,1.383
20-08-2015,3.421,2.07,1.351
21-08-2015,3.382,1.95,1.432
22-08-2015,3.498,2.164,1.334
23-08-2015,3.288,1.937,1.351
24-08-2015,3.215,1.648,1.567
25-08-2015,3.063,1.53,1.533
26-08-2015,2.928,1.328,1.6
27-08-2015,3.229,1.828,1.401
28-08-2015,3.356,1.861,1.495
29-08-2015,3.89,2.54,1.35
30-08-2015,2.961,0.76,2.201
31-08-2015,3.136,1.532,1.604
01-09-2015,3.681,2.2,1.481
02-09-2015,3.009,1.369,1.64
03-09-2015,3.094,1.53,1.564
04-09-2015,3.518,2.063,1.455
05-09-2015,2.885,1.356,1.529
06-09-2015,2.745,1.217,1.528
07-09-2015,2.829,1.197,1.632
08-09-2015,2.742,0.763,1.979
09-09-2015,4.351,3.181,1.17
10-09-2015,2.967,1.421,1.546
11-09-2015,3.054,1.53,1.524
12-09-2015,2.937,1.481,1.456
13-09-2015,2.977,1.564,1.413
14-09-2015,2.947,1.355,1.592
15-09-2015,2.821,1.247,1.574
16-09-2015,3.041,1.464,1.577
17-09-2015,2.796,1.14,1.656
18-09-2015,2.978,1.419,1.559
19-09-2015,3.16,1.736,1.424
20-09-2015,2.325,0.7,1.625
21-09-2015,3.458,1.912,1.546
22-09-2015,2.988,1.471,1.517
23-09-2015,2.561,0.869,1.692
24-09-2015,3.159,1.6,1.559
25-09-2015,3.193,1.799,1.394
26-09-2015,2.934,1.431,1.503
27-09-2015,2.589,1.033,1.556
28-09-2015,2.874,1.29,1.584
29-09-2015,2.757,1.146,1.611
30-09-2015,2.714,1.092,1.622
01-10-2015,2.712,1.126,1.586
02-10-2015,2.809,1.206,1.603
03-10-2015,2.322,0.667,1.655
04-10-2015,2.319,0.645,1.674
05-10-2015,2.859,1.378,1.481
06-10-2015,2.978,1.383,1.595
07-10-2015,2.678,1.009,1.669
08-10-2015,2.767,1.178,1.589
09-10-2015,2.549,0.258,2.291
10-10-2015,2.918,1.423,1.495
11-10-2015,2.509,0.878,1.631
12-10-2015,2.687,1.059,1.628
13-10-2015,2.698,1.036,1.662
14-10-2015,2.621,1.017,1.604
15-10-2015,2.698,1.075,1.623
16-10-2015,3.295,1.833,1.462
17-10-2015,2.871,1.384,1.487
18-10-2015,2.899,1.39,1.509
19-10-2015,2.581,0.956,1.625
20-10-2015,2.672,0.791,1.881
21-10-2015,2.406,0.686,1.72
22-10-2015,3.41,1.851,1.559
23-10-2015,2.511,0.808,1.703
24-10-2015,2.907,1.401,1.506
25-10-2015,3.435,1.943,1.492
26-10-2015,2.931,1.414,1.517
27-10-2015,2.867,1.275,1.592
28-10-2015,2.47,0.817,1.653
29-10-2015,3.109,1.519,1.59
30-10-2015,2.942,1.264,1.678
31-10-2015,2.736,1.162,1.574
01-11-2015,2.395,0.661,1.734
02-11-2015,2.59,0.777,1.813
03-11-2015,2.403,0.037,2.366
04-11-2015,2.917,1.294,1.623
05-11-2015,2.851,1.258,1.593
06-11-2015,2.82,1.218,1.602
07-11-2015,3.69,2.285,1.405
08-11-2015,3.067,1.51,1.557
09-11-2015,2.828,1.225,1.603
10-11-2015,3.336,1.799,1.537
11-11-2015,2.867,1.353,1.514
12-11-2015,2.847,1.228,1.619
13-11-2015,2.46,0.778,1.682
14-11-2015,3.445,1.953,1.492
15-11-2015,2.853,1.219,1.634
16-11-2015,3.59,1.99,1.6
17-11-2015,3.792,2.462,1.33
18-11-2015,3.222,1.771,1.451
19-11-2015,3.092,1.65,1.442
20-11-2015,3.395,2.004,1.391
21-11-2015,2.802,1.209,1.593
22-11-2015,2.177,0.477,1.7
23-11-2015,3.035,1.552,1.483
24-11-2015,2.843,1.262,1.581
25-11-2015,2.829,1.177,1.652
26-11-2015,3.076,1.502,1.574
27-11-2015,3.242,1.711,1.531
28-11-2015,3.254,1.776,1.478
29-11-2015,3.247,1.821,1.426
30-11-2015,4.012,2.743,1.269
01-12-2015,3.232,1.618,1.614
02-12-2015,3.125,1.559,1.566
03-12-2015,3.165,1.6,1.565
04-12-2015,2.835,1.271,1.564
05-12-2015,2.872,1.354,1.518
06-12-2015,3.072,1.579,1.493
07-12-2015,3.107,1.603,1.504
08-12-2015,3.801,2.393,1.408
09-12-2015,3.062,1.449,1.613
10-12-2015,3.044,1.411,1.633
11-12-2015,3.082,1.503,1.579
12-12-2015,2.766,1.216,1.55
13-12-2015,2.787,1.182,1.605
14-12-2015,2.831,1.229,1.602
15-12-2015,2.711,1.038,1.673
16-12-2015,2.714,1.11,1.604
17-12-2015,2.709,1.05,1.659
18-12-2015,2.917,1.331,1.586
19-12-2015,3.11,1.734,1.376
20-12-2015,3.391,1.973,1.418
21-12-2015,3.145,1.678,1.467
22-12-2015,2.636,1.044,1.592
23-12-2015,1.789,2.32,-0.531
24-12-2015,2.573,0.962,1.611
25-12-2015,2.808,1.311,1.497
26-12-2015,2.626,1.089,1.537
27-12-2015,2.604,1.03,1.574
28-12-2015,2.845,1.359,1.486
29-12-2015,3.135,1.718,1.417
30-12-2015,3.05,1.567,1.483
31-12-2015,2.856,1.394,1.462
01-01-2016,2.992,1.558,1.434
02-01-2016,3.265,1.841,1.424
03-01-2016,3.09,1.566,1.524
04-01-2016,3.116,1.59,1.526
05-01-2016,3.241,1.76,1.481
06-01-2016,2.992,1.53,1.462
07-01-2016,3.146,1.63,1.516
08-01-2016,3.174,1.812,1.362
09-01-2016,2.615,1.093,1.522
10-01-2016,2.711,1.197,1.514
11-01-2016,3.013,1.472,1.541
12-01-2016,2.993,1.387,1.606
13-01-2016,2.627,1.02,1.607
14-01-2016,3.128,1.56,1.568
15-01-2016,3.361,1.917,1.444
16-01-2016,3.379,1.977,1.402
17-01-2016,2.878,1.314,1.564
18-01-2016,2.144,0.467,1.677
19-01-2016,2.543,0.881,1.662
20-01-2016,3.472,2.073,1.399
21-01-2016,3.218,1.729,1.489
22-01-2016,3.426,2.11,1.316
23-01-2016,3.615,2.286,1.329
24-01-2016,1.801,0.016,1.785
25-01-2016,2.42,0.756,1.664
26-01-2016,3.066,1.521,1.545
27-01-2016,2.886,1.291,1.595
28-01-2016,3.092,1.592,1.5
29-01-2016,2.931,1.4,1.531
30-01-2016,3.034,1.641,1.393
31-01-2016,2.787,1.277,1.51
01-02-2016,2.986,1.478,1.508
02-02-2016,2.974,1.333,1.641
03-02-2016,3.199,1.703,1.496
04-02-2016,2.037,0.337,1.7
05-02-2016,3.11,1.544,1.566
05-02-2016,3.11,1.544,1.566
06-02-2016,3.177,1.784,1.393
07-02-2016,3.182,1.729,1.453
08-02-2016,3.206,1.68,1.526
09-02-2016,2.872,1.252,1.62
10-02-2016,2.662,1.098,1.564
11-02-2016,2.899,1.299,1.6
12-02-2016,2.816,1.187,1.629
13-02-2016,3.235,1.813,1.422
14-02-2016,3.289,1.941,1.348
15-02-2016,2.751,0.589,2.162
16-02-2016,2.927,1.347,1.58
17-02-2016,2.783,1.131,1.652
18-02-2016,2.804,1.146,1.658
19-02-2016,2.815,1.234,1.581
20-02-2016,2.96,1.533,1.427
21-02-2016,2.038,0.351,1.687
22-02-2016,2.594,0.958,1.636
23-02-2016,2.841,1.22,1.621
24-02-2016,2.933,1.305,1.628
25-02-2016,2.816,1.184,1.632
26-02-2016,2.764,1.15,1.614
27-02-2016,3.029,1.306,1.723
28-02-2016,2.844,1.322,1.522
29-02-2016,2.612,1.023,1.589
01-03-2016,3.117,1.584,1.533
02-03-2016,2.897,1.292,1.605
03-03-2016,2.864,1.219,1.645
04-03-2016,2.996,1.42,1.576
05-03-2016,2.228,0.572,1.656
06-03-2016,2.66,1.103,1.557
07-03-2016,3.22,1.664,1.556
08-03-2016,3.083,1.469,1.614
